,amecaji,TOP_RGB,BOTTOM_RGB,path
92,,"(73, 68, 52)","(90, 87, 82)",amecaji_images/2_33.webp
93,,"(93, 92, 79)","(47, 50, 58)",amecaji_images/2_34.webp
94,,"(139, 85, 69)","(84, 87, 103)",amecaji_images/2_35.webp
95,,"(132, 97, 73)","(89, 99, 113)",amecaji_images/2_36.webp
96,,"(151, 134, 111)","(41, 48, 57)",amecaji_images/2_37.webp
97,,"(99, 94, 94)","(131, 109, 90)",amecaji_images/2_38.webp
98,,"(72, 68, 70)","(63, 58, 56)",amecaji_images/2_39.webp
99,,"(21, 24, 39)","(49, 41, 49)",amecaji_images/2_40.webp
100,,"(86, 93, 111)","(51, 59, 69)",amecaji_images/2_41.webp
101,,"(91, 83, 92)","(57, 60, 85)",amecaji_images/2_42.webp
102,,"(203, 201, 197)","(64, 82, 88)",amecaji_images/2_43.webp
103,,"(53, 49, 49)","(92, 89, 83)",amecaji_images/2_44.webp
104,,"(84, 83, 99)","(83, 80, 90)",amecaji_images/2_45.webp
105,,"(28, 27, 29)","(47, 45, 45)",amecaji_images/2_46.webp
106,,"(62, 74, 91)","(51, 52, 63)",amecaji_images/2_47.webp
107,,"(107, 132, 147)","(130, 150, 158)",amecaji_images/2_48.webp
108,,"(82, 70, 87)","(54, 57, 76)",amecaji_images/2_49.webp
109,,"(64, 68, 83)","(59, 67, 84)",amecaji_images/2_50.webp
110,,"(128, 133, 137)","(113, 73, 51)",amecaji_images/2_51.webp
111,,"(43, 46, 57)","(48, 48, 57)",amecaji_images/2_52.webp
112,,"(42, 46, 60)","(31, 54, 60)",amecaji_images/2_53.webp
113,,"(104, 102, 100)","(132, 129, 124)",amecaji_images/2_54.webp
114,,"(135, 122, 110)","(148, 133, 126)",amecaji_images/2_55.webp
115,,"(121, 117, 119)","(122, 118, 95)",amecaji_images/2_56.webp
116,,"(97, 87, 79)","(107, 96, 102)",amecaji_images/2_57.webp
117,,"(55, 56, 67)","(58, 56, 67)",amecaji_images/2_58.webp
118,,"(102, 98, 83)","(143, 138, 125)",amecaji_images/2_59.webp
