,TOP_RGB,BOTTOM_RGB,path
393,"(71, 70, 70)","(32, 31, 31)",businesscasual_images/7_40.webp
395,"(15, 16, 25)","(114, 87, 63)",businesscasual_images/7_42.webp
397,"(136, 131, 120)","(137, 124, 123)",businesscasual_images/7_44.webp
398,"(87, 88, 70)","(23, 23, 25)",businesscasual_images/7_45.webp
399,"(106, 105, 102)","(129, 127, 125)",businesscasual_images/7_46.webp
400,"(70, 72, 66)","(68, 70, 69)",businesscasual_images/7_47.webp
401,"(117, 90, 63)","(136, 100, 59)",businesscasual_images/7_48.webp
402,"(136, 129, 117)","(100, 96, 87)",businesscasual_images/7_49.webp
403,"(32, 40, 57)","(157, 145, 138)",businesscasual_images/7_50.webp
404,"(168, 158, 163)","(159, 161, 164)",businesscasual_images/7_51.webp
405,"(172, 170, 173)","(56, 58, 69)",businesscasual_images/7_52.webp
406,"(65, 59, 68)","(59, 57, 65)",businesscasual_images/7_53.webp
407,"(50, 43, 43)","(55, 57, 59)",businesscasual_images/7_54.webp
409,"(52, 58, 51)","(126, 126, 121)",businesscasual_images/7_56.webp
410,"(155, 168, 191)","(35, 40, 49)",businesscasual_images/7_57.webp
411,"(213, 199, 180)","(204, 187, 169)",businesscasual_images/7_58.webp
412,"(86, 88, 96)","(72, 74, 83)",businesscasual_images/7_59.webp
413,"(90, 90, 100)","(166, 179, 183)",businesscasual_images/8_0.webp
414,"(138, 127, 135)","(51, 65, 76)",businesscasual_images/8_1.webp
415,"(103, 107, 128)","(109, 115, 135)",businesscasual_images/8_2.webp
416,"(80, 85, 108)","(125, 141, 165)",businesscasual_images/8_3.webp
417,"(91, 96, 109)","(169, 111, 126)",businesscasual_images/8_4.webp
418,"(100, 85, 83)","(77, 71, 70)",businesscasual_images/8_5.webp
419,"(78, 74, 81)","(72, 68, 75)",businesscasual_images/8_6.webp
420,"(123, 114, 96)","(178, 150, 118)",businesscasual_images/8_7.webp
421,"(64, 65, 72)","(48, 48, 53)",businesscasual_images/8_9.webp
422,"(48, 50, 53)","(21, 24, 29)",businesscasual_images/8_10.webp
423,"(56, 55, 69)","(34, 45, 65)",businesscasual_images/8_11.webp
424,"(91, 75, 67)","(200, 197, 200)",businesscasual_images/8_12.webp
426,"(52, 51, 60)","(55, 56, 66)",businesscasual_images/8_14.webp
427,"(42, 82, 92)","(176, 169, 180)",businesscasual_images/8_15.webp
428,"(61, 71, 98)","(70, 77, 101)",businesscasual_images/8_16.webp
429,"(74, 78, 92)","(57, 57, 75)",businesscasual_images/8_17.webp
430,"(50, 52, 72)","(67, 68, 84)",businesscasual_images/8_18.webp
431,"(50, 54, 78)","(59, 58, 73)",businesscasual_images/8_19.webp
432,"(55, 50, 54)","(55, 53, 57)",businesscasual_images/8_20.webp
433,"(67, 74, 91)","(194, 179, 174)",businesscasual_images/8_21.webp
434,"(200, 192, 186)","(171, 156, 149)",businesscasual_images/8_22.webp
435,"(134, 111, 102)","(127, 110, 101)",businesscasual_images/8_23.webp
436,"(62, 74, 88)","(60, 75, 90)",businesscasual_images/8_24.webp
437,"(111, 115, 127)","(38, 46, 56)",businesscasual_images/8_25.webp
438,"(71, 75, 87)","(81, 63, 63)",businesscasual_images/8_26.webp
439,"(154, 141, 136)","(61, 57, 64)",businesscasual_images/8_27.webp
440,"(122, 105, 104)","(135, 116, 110)",businesscasual_images/8_28.webp
442,"(144, 111, 50)","(120, 88, 67)",businesscasual_images/8_30.webp
444,"(54, 54, 60)","(60, 60, 64)",businesscasual_images/8_32.webp
446,"(70, 64, 75)","(161, 135, 135)",businesscasual_images/8_34.webp
447,"(108, 115, 141)","(173, 157, 167)",businesscasual_images/8_35.webp
