,TOP_RGB,BOTTOM_RGB,path
552,"(148, 150, 160)","(130, 110, 111)",street_images/10_12.webp
553,"(96, 113, 132)","(149, 143, 141)",street_images/10_13.webp
555,"(57, 56, 63)","(15, 14, 16)",street_images/10_15.webp
557,"(230, 215, 202)","(14, 18, 22)",street_images/10_17.webp
558,"(106, 97, 96)","(180, 164, 153)",street_images/10_18.webp
559,"(49, 49, 57)","(88, 81, 76)",street_images/10_19.webp
560,"(127, 131, 129)","(145, 134, 125)",street_images/10_20.webp
561,"(213, 218, 221)","(143, 143, 147)",street_images/10_21.webp
562,"(146, 148, 156)","(94, 86, 79)",street_images/10_22.webp
563,"(202, 200, 211)","(77, 75, 72)",street_images/10_23.webp
564,"(181, 169, 170)","(188, 182, 200)",street_images/10_24.webp
565,"(52, 54, 62)","(58, 58, 65)",street_images/10_25.webp
566,"(121, 114, 114)","(72, 70, 74)",street_images/10_26.webp
569,"(165, 169, 169)","(66, 67, 73)",street_images/10_29.webp
570,"(87, 78, 81)","(115, 113, 117)",street_images/10_30.webp
571,"(186, 47, 50)","(57, 50, 46)",street_images/10_31.webp
572,"(83, 82, 82)","(88, 48, 42)",street_images/10_32.webp
573,"(167, 174, 164)","(162, 157, 154)",street_images/10_33.webp
574,"(134, 123, 115)","(92, 86, 83)",street_images/10_34.webp
575,"(173, 164, 175)","(127, 106, 105)",street_images/10_35.webp
576,"(49, 47, 54)","(144, 147, 170)",street_images/10_36.webp
577,"(142, 164, 198)","(157, 152, 161)",street_images/10_37.webp
579,"(173, 123, 147)","(140, 133, 140)",street_images/10_39.webp
580,"(93, 120, 157)","(51, 86, 139)",street_images/10_40.webp
581,"(212, 212, 227)","(152, 155, 155)",street_images/10_41.webp
582,"(94, 68, 91)","(53, 77, 106)",street_images/10_42.webp
583,"(58, 56, 55)","(120, 134, 150)",street_images/10_43.webp
584,"(49, 48, 40)","(22, 19, 23)",street_images/10_44.webp
585,"(55, 42, 36)","(191, 162, 144)",street_images/10_45.webp
587,"(75, 67, 71)","(208, 171, 173)",street_images/10_47.webp
