,street,TOP_RGB,BOTTOM_RGB,path
406,,"(134, 119, 109)",,street_images/7_48.webp
407,,"(89, 106, 112)","(31, 32, 36)",street_images/7_49.webp
408,,"(74, 79, 84)",,street_images/7_50.webp
409,,"(62, 64, 69)","(68, 70, 73)",street_images/7_51.webp
410,,"(51, 48, 47)","(87, 87, 89)",street_images/7_52.webp
411,,"(69, 53, 45)","(115, 116, 91)",street_images/7_53.webp
412,,"(82, 75, 72)","(101, 97, 97)",street_images/7_54.webp
413,,"(45, 42, 42)",,street_images/7_55.webp
414,,"(198, 191, 165)","(200, 197, 193)",street_images/7_56.webp
415,,"(83, 89, 42)","(90, 86, 77)",street_images/7_57.webp
416,,"(38, 43, 48)","(30, 34, 41)",street_images/7_58.webp
417,,"(42, 42, 50)","(98, 115, 145)",street_images/7_59.webp
418,,"(83, 89, 42)","(90, 86, 77)",street_images/8_0.webp
419,,"(99, 96, 93)","(68, 52, 47)",street_images/8_1.webp
420,,"(67, 61, 56)","(29, 27, 26)",street_images/8_2.webp
421,,"(129, 108, 96)","(54, 46, 46)",street_images/8_3.webp
422,,"(122, 108, 102)","(59, 64, 70)",street_images/8_10.webp
423,,"(132, 140, 159)","(52, 55, 58)",street_images/8_11.webp
424,,"(70, 61, 54)","(75, 75, 81)",street_images/8_12.webp
425,,"(53, 49, 54)","(111, 117, 131)",street_images/8_13.webp
426,,"(68, 85, 99)","(32, 33, 35)",street_images/8_14.webp
427,,"(125, 122, 117)","(88, 87, 97)",street_images/8_15.webp
428,,"(86, 73, 84)","(103, 128, 162)",street_images/8_16.webp
429,,"(25, 35, 50)","(73, 92, 120)",street_images/8_17.webp
430,,"(56, 64, 67)","(73, 72, 70)",street_images/8_18.webp
431,,"(53, 58, 71)","(70, 72, 60)",street_images/8_19.webp
432,,"(45, 48, 55)","(36, 38, 42)",street_images/8_20.webp
433,,"(85, 92, 100)","(88, 109, 130)",street_images/8_21.webp
434,,"(113, 97, 100)",,street_images/8_22.webp
435,,"(37, 37, 41)","(41, 42, 46)",street_images/8_23.webp
436,,"(83, 89, 93)","(75, 78, 81)",street_images/8_24.webp
437,,"(166, 121, 89)","(79, 66, 55)",street_images/8_25.webp
438,,"(113, 115, 114)","(49, 54, 64)",street_images/8_26.webp
439,,"(203, 200, 202)",,street_images/8_27.webp
440,,"(162, 28, 47)","(138, 118, 98)",street_images/8_28.webp
441,,"(56, 53, 57)","(121, 103, 98)",street_images/8_29.webp
442,,"(72, 88, 118)","(114, 126, 142)",street_images/8_30.webp
443,,"(102, 92, 100)",,street_images/8_31.webp
444,,"(117, 126, 119)","(29, 52, 83)",street_images/8_32.webp
445,,"(68, 58, 56)","(38, 40, 44)",street_images/8_33.webp
446,,"(88, 82, 78)","(98, 100, 98)",street_images/10_0.webp
447,,"(57, 59, 59)","(50, 52, 57)",street_images/10_1.webp
448,,"(110, 61, 66)","(141, 143, 138)",street_images/10_2.webp
449,,"(115, 130, 153)","(62, 61, 53)",street_images/10_3.webp
450,,"(116, 138, 159)","(119, 67, 65)",street_images/10_4.webp
451,,"(100, 83, 54)",,street_images/10_5.webp
452,,"(88, 97, 108)","(53, 48, 50)",street_images/10_6.webp
453,,"(80, 74, 75)","(88, 105, 123)",street_images/10_7.webp
454,,"(25, 29, 36)","(41, 45, 50)",street_images/10_8.webp
455,,"(66, 70, 77)","(44, 46, 49)",street_images/10_9.webp
456,,"(62, 69, 84)","(64, 74, 91)",street_images/10_10.webp
457,,"(187, 174, 167)","(137, 127, 129)",street_images/10_11.webp
458,,"(79, 79, 86)","(85, 83, 86)",street_images/10_12.webp
459,,"(104, 97, 99)","(76, 70, 74)",street_images/10_13.webp
460,,"(59, 58, 63)","(35, 33, 35)",street_images/10_14.webp
461,,"(55, 54, 69)","(180, 121, 132)",street_images/10_15.webp
462,,"(181, 169, 190)","(162, 84, 88)",street_images/10_17.webp
463,,"(53, 51, 52)","(68, 68, 70)",street_images/10_18.webp
464,,"(23, 25, 30)",,street_images/10_19.webp
465,,"(97, 96, 100)","(101, 97, 95)",street_images/10_20.webp
466,,"(50, 50, 61)","(101, 90, 93)",street_images/10_21.webp
467,,"(106, 95, 96)","(185, 149, 166)",street_images/10_22.webp
468,,"(49, 44, 54)","(53, 86, 112)",street_images/10_23.webp
469,,"(47, 56, 72)","(103, 100, 94)",street_images/10_24.webp
470,,"(110, 114, 119)","(44, 51, 65)",street_images/10_25.webp
471,,"(100, 82, 83)","(71, 67, 72)",street_images/10_26.webp
472,,"(100, 116, 140)","(58, 57, 63)",street_images/10_27.webp
473,,"(42, 28, 28)","(30, 28, 28)",street_images/10_28.webp
474,,"(84, 81, 80)","(48, 46, 48)",street_images/10_29.webp
475,,"(105, 106, 96)","(122, 118, 108)",street_images/10_30.webp
476,,"(58, 60, 65)","(34, 35, 38)",street_images/10_31.webp
477,,"(130, 129, 123)","(126, 129, 134)",street_images/10_32.webp
478,,"(53, 48, 50)","(57, 62, 41)",street_images/10_33.webp
479,,"(214, 201, 191)","(178, 164, 155)",street_images/10_34.webp
480,,"(114, 106, 105)","(71, 70, 76)",street_images/10_35.webp
481,,"(113, 108, 102)","(135, 119, 108)",street_images/10_36.webp
482,,"(188, 182, 182)","(72, 70, 76)",street_images/10_37.webp
483,,"(87, 86, 99)","(85, 83, 93)",street_images/10_38.webp
484,,"(55, 54, 52)","(49, 47, 48)",street_images/10_39.webp
485,,"(64, 61, 63)","(166, 167, 174)",street_images/10_40.webp
486,,"(107, 102, 101)","(43, 43, 46)",street_images/10_41.webp
487,,"(194, 176, 157)","(83, 86, 90)",street_images/10_42.webp
488,,"(18, 27, 36)","(140, 142, 143)",street_images/10_43.webp
489,,"(65, 60, 62)","(45, 52, 64)",street_images/10_44.webp
490,,"(206, 191, 181)","(88, 65, 48)",street_images/10_45.webp
491,,"(165, 147, 127)",,street_images/10_46.webp
492,,"(66, 64, 66)","(74, 72, 64)",street_images/10_47.webp
493,,"(94, 99, 94)","(67, 90, 111)",street_images/10_48.webp
494,,"(68, 72, 77)","(24, 27, 31)",street_images/10_49.webp
495,,"(61, 65, 77)","(107, 98, 107)",street_images/10_50.webp
496,,"(45, 47, 52)","(104, 102, 94)",street_images/10_51.webp
497,,"(133, 80, 85)","(78, 82, 88)",street_images/10_52.webp
498,,"(100, 82, 83)","(71, 67, 72)",street_images/10_53.webp
499,,"(33, 45, 63)","(159, 132, 123)",street_images/10_54.webp
500,,"(91, 81, 82)","(82, 70, 71)",street_images/10_55.webp
501,,"(121, 119, 142)","(69, 80, 107)",street_images/10_56.webp
502,,"(192, 192, 203)","(120, 125, 131)",street_images/10_57.webp
503,,"(71, 81, 93)","(182, 158, 104)",street_images/10_58.webp
504,,"(135, 127, 132)","(90, 95, 105)",street_images/10_59.webp
