,street,TOP_RGB,BOTTOM_RGB,path
148,,"(113, 120, 128)","(111, 20, 42)",street_images/3_29.webp
149,,"(210, 214, 215)","(44, 46, 49)",street_images/3_30.webp
150,,"(57, 63, 67)","(43, 47, 50)",street_images/3_31.webp
151,,"(112, 105, 106)","(111, 102, 92)",street_images/3_32.webp
152,,"(93, 77, 75)","(52, 53, 57)",street_images/3_33.webp
153,,"(48, 45, 47)","(54, 52, 53)",street_images/3_34.webp
154,,"(80, 103, 126)","(47, 59, 73)",street_images/3_35.webp
155,,"(181, 146, 133)","(190, 194, 201)",street_images/3_36.webp
156,,"(51, 47, 47)","(42, 39, 41)",street_images/3_37.webp
157,,"(58, 55, 57)","(123, 121, 120)",street_images/3_38.webp
158,,"(41, 40, 47)","(111, 102, 108)",street_images/3_39.webp
159,,"(104, 110, 113)","(105, 105, 106)",street_images/3_40.webp
160,,"(155, 152, 148)","(69, 72, 80)",street_images/3_41.webp
161,,"(44, 65, 101)","(49, 52, 50)",street_images/3_42.webp
162,,"(93, 117, 150)",,street_images/3_43.webp
163,,"(92, 86, 84)","(66, 66, 66)",street_images/3_44.webp
164,,"(54, 52, 57)","(61, 59, 62)",street_images/3_45.webp
165,,"(71, 73, 79)","(123, 129, 131)",street_images/3_46.webp
166,,"(118, 132, 154)","(188, 165, 176)",street_images/3_47.webp
167,,"(123, 113, 100)","(83, 79, 82)",street_images/3_48.webp
168,,"(208, 167, 180)","(48, 41, 36)",street_images/3_49.webp
169,,"(56, 52, 53)","(137, 122, 113)",street_images/3_50.webp
170,,"(81, 64, 53)","(119, 95, 82)",street_images/3_51.webp
171,,"(169, 135, 116)","(156, 121, 108)",street_images/3_52.webp
172,,"(85, 62, 67)","(106, 104, 109)",street_images/3_53.webp
173,,"(62, 61, 65)","(136, 123, 111)",street_images/3_54.webp
174,,"(152, 141, 143)","(75, 77, 85)",street_images/3_55.webp
175,,"(79, 67, 64)","(75, 43, 33)",street_images/3_56.webp
176,,"(175, 173, 174)","(90, 87, 85)",street_images/3_57.webp
177,,"(66, 97, 109)","(116, 124, 127)",street_images/3_58.webp
178,,"(92, 89, 91)","(154, 149, 145)",street_images/3_59.webp
179,,"(117, 117, 108)","(47, 45, 47)",street_images/4_0.webp
180,,"(159, 143, 128)","(80, 79, 79)",street_images/4_1.webp
181,,"(171, 175, 181)","(133, 130, 143)",street_images/4_2.webp
182,,"(90, 83, 87)","(83, 72, 75)",street_images/4_3.webp
183,,"(58, 68, 84)","(88, 110, 155)",street_images/4_4.webp
184,,"(108, 92, 82)","(43, 44, 46)",street_images/4_5.webp
185,,"(155, 157, 157)","(22, 23, 21)",street_images/4_6.webp
186,,"(28, 24, 22)","(48, 58, 68)",street_images/4_7.webp
187,,"(27, 29, 27)","(192, 191, 195)",street_images/4_8.webp
188,,"(129, 116, 105)","(68, 59, 49)",street_images/4_9.webp
189,,"(34, 33, 33)",,street_images/4_10.webp
190,,"(73, 71, 78)","(77, 73, 77)",street_images/4_11.webp
191,,"(49, 49, 58)","(58, 58, 71)",street_images/4_12.webp
192,,"(80, 77, 79)","(67, 65, 65)",street_images/4_13.webp
193,,"(55, 60, 70)","(81, 76, 105)",street_images/4_14.webp
194,,"(78, 80, 87)","(69, 77, 67)",street_images/4_15.webp
195,,"(191, 191, 204)","(86, 87, 91)",street_images/4_16.webp
