,TOP_RGB,BOTTOM_RGB,path
338,"(58, 71, 90)","(60, 59, 49)",casual_images/6_38.webp
339,"(167, 164, 186)","(92, 102, 129)",casual_images/6_39.webp
340,"(80, 109, 154)","(87, 92, 112)",casual_images/6_40.webp
341,"(157, 132, 126)","(146, 141, 148)",casual_images/6_41.webp
342,"(170, 174, 190)","(52, 52, 65)",casual_images/6_42.webp
343,"(70, 65, 70)","(65, 63, 70)",casual_images/6_43.webp
344,"(48, 70, 97)","(85, 101, 122)",casual_images/6_44.webp
345,"(167, 162, 164)","(52, 59, 61)",casual_images/6_45.webp
346,"(42, 39, 38)","(73, 71, 58)",casual_images/6_46.webp
347,"(194, 170, 150)","(105, 111, 121)",casual_images/6_47.webp
348,"(130, 123, 118)","(37, 37, 38)",casual_images/6_48.webp
349,"(39, 59, 55)","(71, 75, 89)",casual_images/6_49.webp
350,"(39, 39, 35)","(145, 143, 141)",casual_images/6_50.webp
351,"(187, 192, 203)","(166, 167, 171)",casual_images/6_51.webp
352,"(32, 34, 39)","(43, 63, 92)",casual_images/6_52.webp
353,"(49, 56, 67)","(134, 147, 167)",casual_images/6_53.webp
354,"(52, 50, 56)","(67, 59, 60)",casual_images/6_54.webp
355,"(205, 192, 173)","(92, 107, 123)",casual_images/6_55.webp
356,"(35, 59, 86)","(93, 93, 85)",casual_images/6_56.webp
357,"(110, 107, 112)","(114, 118, 124)",casual_images/6_57.webp
358,"(152, 154, 160)","(130, 136, 146)",casual_images/6_58.webp
359,"(112, 78, 70)","(203, 186, 86)",casual_images/6_59.webp
360,"(48, 43, 48)","(103, 113, 127)",casual_images/7_0.webp
361,"(214, 167, 73)","(102, 97, 96)",casual_images/7_1.webp
362,"(114, 128, 153)","(58, 66, 77)",casual_images/7_2.webp
363,"(55, 57, 63)","(131, 123, 116)",casual_images/7_3.webp
364,"(154, 149, 153)","(117, 122, 121)",casual_images/7_4.webp
365,"(104, 95, 49)","(41, 42, 47)",casual_images/7_5.webp
366,"(183, 186, 196)","(201, 201, 205)",casual_images/7_6.webp
367,"(128, 135, 164)","(87, 78, 77)",casual_images/7_7.webp
368,"(99, 76, 88)","(57, 71, 89)",casual_images/7_8.webp
369,"(65, 69, 72)","(117, 113, 115)",casual_images/7_9.webp
370,"(160, 153, 160)","(171, 166, 180)",casual_images/7_10.webp
371,"(30, 31, 35)","(163, 164, 169)",casual_images/7_11.webp
372,"(131, 136, 143)","(115, 105, 113)",casual_images/7_12.webp
373,"(135, 138, 145)","(115, 128, 149)",casual_images/7_13.webp
374,"(178, 173, 172)","(101, 116, 138)",casual_images/7_14.webp
375,"(121, 85, 67)","(79, 98, 132)",casual_images/7_15.webp
376,"(211, 212, 220)","(160, 157, 150)",casual_images/7_16.webp
377,"(70, 71, 91)","(194, 192, 218)",casual_images/7_17.webp
378,"(189, 181, 183)","(34, 34, 39)",casual_images/7_18.webp
379,"(68, 67, 67)","(136, 160, 191)",casual_images/7_19.webp
380,"(49, 53, 60)","(138, 137, 141)",casual_images/7_20.webp
381,"(89, 101, 123)","(179, 165, 169)",casual_images/7_21.webp
383,"(187, 187, 203)","(76, 77, 83)",casual_images/7_23.webp
384,"(76, 75, 81)","(167, 170, 177)",casual_images/7_24.webp
385,"(152, 145, 148)","(165, 149, 175)",casual_images/7_25.webp
386,"(80, 85, 92)","(101, 106, 114)",casual_images/7_26.webp
387,"(102, 99, 100)","(61, 63, 68)",casual_images/7_27.webp
388,"(54, 59, 73)","(72, 72, 87)",casual_images/7_28.webp
389,"(197, 34, 43)","(73, 69, 80)",casual_images/7_29.webp
390,"(161, 143, 166)","(102, 125, 155)",casual_images/7_30.webp
391,"(135, 143, 153)","(141, 124, 125)",casual_images/7_31.webp
392,"(196, 191, 195)","(92, 103, 112)",casual_images/7_32.webp
393,"(64, 117, 126)","(52, 51, 60)",casual_images/7_33.webp
394,"(89, 34, 41)","(112, 120, 136)",casual_images/7_34.webp
395,"(43, 50, 64)","(123, 116, 111)",casual_images/7_35.webp
396,"(115, 117, 124)","(136, 132, 136)",casual_images/7_36.webp
397,"(138, 148, 164)","(175, 183, 203)",casual_images/7_37.webp
398,"(58, 71, 90)","(60, 59, 49)",casual_images/7_38.webp
399,"(167, 164, 186)","(92, 102, 129)",casual_images/7_39.webp
400,"(80, 109, 154)","(87, 92, 112)",casual_images/7_40.webp
401,"(157, 132, 126)","(146, 141, 148)",casual_images/7_41.webp
402,"(170, 174, 190)","(52, 52, 65)",casual_images/7_42.webp
403,"(70, 65, 70)","(65, 63, 70)",casual_images/7_43.webp
404,"(48, 70, 97)","(85, 101, 122)",casual_images/7_44.webp
405,"(167, 162, 164)","(52, 59, 61)",casual_images/7_45.webp
406,"(42, 39, 38)","(73, 71, 58)",casual_images/7_46.webp
407,"(194, 170, 150)","(105, 111, 121)",casual_images/7_47.webp
408,"(130, 123, 118)","(37, 37, 38)",casual_images/7_48.webp
409,"(39, 59, 55)","(71, 75, 89)",casual_images/7_49.webp
410,"(39, 39, 35)","(145, 143, 141)",casual_images/7_50.webp
411,"(187, 192, 203)","(166, 167, 171)",casual_images/7_51.webp
412,"(32, 34, 39)","(43, 63, 92)",casual_images/7_52.webp
413,"(49, 56, 67)","(134, 147, 167)",casual_images/7_53.webp
414,"(52, 50, 56)","(67, 59, 60)",casual_images/7_54.webp
415,"(205, 192, 173)","(92, 107, 123)",casual_images/7_55.webp
416,"(35, 59, 86)","(93, 93, 85)",casual_images/7_56.webp
417,"(110, 107, 112)","(114, 118, 124)",casual_images/7_57.webp
418,"(152, 154, 160)","(130, 136, 146)",casual_images/7_58.webp
419,"(112, 78, 70)","(203, 186, 86)",casual_images/7_59.webp
420,"(48, 43, 48)","(103, 113, 127)",casual_images/8_0.webp
421,"(214, 167, 73)","(102, 97, 96)",casual_images/8_1.webp
422,"(114, 128, 153)","(58, 66, 77)",casual_images/8_2.webp
423,"(55, 57, 63)","(131, 123, 116)",casual_images/8_3.webp
424,"(154, 149, 153)","(117, 122, 121)",casual_images/8_4.webp
425,"(104, 95, 49)","(41, 42, 47)",casual_images/8_5.webp
426,"(183, 186, 196)","(201, 201, 205)",casual_images/8_6.webp
