,TOP_RGB,BOTTOM_RGB,path
371,"(131, 124, 115)","(159, 151, 140)",amecaji_images/7_17.webp
372,"(34, 34, 37)","(52, 59, 54)",amecaji_images/7_18.webp
373,"(111, 109, 117)","(113, 125, 128)",amecaji_images/7_19.webp
374,"(48, 59, 91)","(86, 81, 93)",amecaji_images/7_20.webp
375,"(85, 77, 74)","(99, 81, 86)",amecaji_images/7_21.webp
376,"(90, 52, 66)","(64, 59, 72)",amecaji_images/7_22.webp
377,"(117, 95, 98)","(125, 121, 133)",amecaji_images/7_23.webp
378,"(70, 80, 105)","(81, 92, 114)",amecaji_images/7_24.webp
379,"(63, 65, 74)","(125, 129, 133)",amecaji_images/7_25.webp
380,"(67, 60, 59)","(65, 75, 93)",amecaji_images/7_26.webp
381,"(118, 140, 169)","(122, 135, 162)",amecaji_images/7_27.webp
382,"(129, 117, 107)","(96, 92, 84)",amecaji_images/7_28.webp
384,"(60, 87, 131)","(89, 136, 179)",amecaji_images/7_30.webp
385,"(61, 60, 54)","(163, 131, 96)",amecaji_images/7_31.webp
386,"(99, 102, 91)","(107, 97, 88)",amecaji_images/7_32.webp
387,"(21, 45, 76)","(135, 105, 85)",amecaji_images/7_34.webp
388,"(76, 81, 94)","(68, 74, 88)",amecaji_images/7_35.webp
389,"(80, 84, 105)","(49, 52, 69)",amecaji_images/7_36.webp
390,"(39, 38, 41)","(30, 30, 33)",amecaji_images/7_37.webp
391,"(52, 56, 62)","(66, 66, 71)",amecaji_images/7_38.webp
392,"(60, 70, 68)","(46, 52, 54)",amecaji_images/7_39.webp
393,"(114, 76, 48)","(143, 114, 94)",amecaji_images/7_40.webp
394,"(111, 101, 97)","(174, 153, 132)",amecaji_images/7_41.webp
395,"(46, 67, 96)","(68, 74, 95)",amecaji_images/7_42.webp
396,"(80, 71, 74)","(45, 84, 137)",amecaji_images/7_43.webp
397,"(56, 56, 60)","(47, 46, 47)",amecaji_images/7_44.webp
398,"(93, 88, 93)","(94, 88, 91)",amecaji_images/7_45.webp
399,"(55, 74, 104)","(89, 103, 123)",amecaji_images/7_46.webp
400,"(91, 106, 135)","(140, 156, 188)",amecaji_images/7_47.webp
401,"(109, 97, 95)","(147, 143, 151)",amecaji_images/7_48.webp
402,"(92, 92, 104)","(78, 119, 156)",amecaji_images/7_49.webp
403,"(75, 76, 87)","(75, 79, 89)",amecaji_images/7_50.webp
